﻿﻿restaurant_id,wine_name,producer,vintage,price,bottle_size,section,acidity,tannin,body,texture,pairing_tags,insider_note,data_source
gabriel kreuther,"""Clos des Epeneaux"" Pommard 1er Cru",Comte Armand,2012,1100,750ml,General,7,8,8,"Firm, muscular, earthy","Steak, Lamb, Game, Mushroom","Serious Pommard: dark fruit, iron, still structured for the table.",NUCLEAR_MATCH_V8
gabriel kreuther,"""Clos St Hilaire"" Mareuil-sur-Aÿ",Billecart-Salmon,2006,1100,750ml,General,8,1,9,"dense, vinous, satin","lobster_thermidor, veal, truffled_poultry","Monopole clos; richly textured, almost Burgundian in structure.",NUCLEAR_MATCH_V8
gabriel kreuther,Reims,Krug,MV,1100,750ml,General,8,,9,"Creamy, layered, smoky","Caviar, Truffle Dishes, Roast Chicken, Comté","Iconic multi-vintage; profound depth, oxidative nuance, seamless richness.",NUCLEAR_MATCH_V8
gabriel kreuther,La Grand Rue Grand Cru,Francois Lamarche,2011,1100,750ml,General,7,6,6,"elegant, fading velvet, tertiary‑driven","poultry, mushroom_dishes, soft_cheese",2011 delicacy; ideal for guests preferring fully mature grand cru.,NUCLEAR_MATCH_V8
gabriel kreuther,Pertuisots,"Leroy, Maison",2000,1100,750ml,General,6,8,8,Satin,"filet mignon, foie gras","Leroy magic, soft yet profound maturity.",NUCLEAR_MATCH_V8
gabriel kreuther,Clos des Epeneaux,Comte Armand,2012,1100,1500ml,General,8,7,7,Harmonious,"beef stew, winter squash","Robust structure, vibrant fruit core.",NUCLEAR_MATCH_V8
gramercy tavern,Unknown,Andre Tissot,2011,1100,750ml,General,9,1,5,Intense,"Nuts, Dessert","Château-Chalon, profound oxidative depth.",NUCLEAR_MATCH_V8
Huso,‘Blanc des Millenaires’ Blanc de Blancs Brut,Charles Heidsieck,1996,1100,750ml,Champagne & Sparkling,7,1,9,"creamy, nutty, expansive mousse","caviar, lobster, truffle_dishes","Mature 1996 BdB: tertiary, powerful, built for contemplative drinking.",NUCLEAR_MATCH_V8
Huso,Rosé,Dom Pérignon,2009,1100,750ml,Champagne & Sparkling,7,2,8,Silky,"Game, Cheese","Iconic vintage rosé, profound and generous.",NUCLEAR_MATCH_V8
Huso,‘Martha’s Vineyard’,Heitz,2006,1100,750ml,Red Wine,7,7,8,"minty, resolved, classic","roast lamb, prime rib, wild mushroom","Aged Martha’s: eucalyptus, cigar box, red currant; Bordelais in Napa clothing.",NUCLEAR_MATCH_V8
joo ok,Grand Cru Grands Echezeaux,Domaine d’Eugenie,2021,1100,750ml,Red Wine,9,9,8,Lean,"Game, Truffles",2021 cool Grand Echezeaux: classic tension.,NUCLEAR_MATCH_V8
joo ok,Echezeaux Rouges du Bas Grand Cru,Domaine Meo Camuzet,2022,1100,750ml,Red Wine,8,9,8,Ripe,"Beef, Aged Cheese","Solar 2022 Echezeaux: plush, generous fruit.",NUCLEAR_MATCH_V8
jua,Meursault 1er Cru “Clos des Bouchères” Monopole,DOMAINE ROULOT,2019,1100,750ml,White,8,,7,"satiny, focused, vibrant","sole, shellfish, poultry",Roulot monopole: filigreed Meursault with more stones than butter.,NUCLEAR_MATCH_V8
jungsik,Unknown,Heitz Cellar,2013,1100,Magnum,General,8,8,7,lean,"roast beef, herb-crusted lamb","Wet vintage, fresh acid.",NUCLEAR_MATCH_V8
frevo,Chassagne-Montrachet Les Houillères,Benoît Ente,2021,1095,Magnum,White Wines,9,1,5,Chalky,"Clams, Citrus Dishes",Lean Chassagne from cool 2021.,NUCLEAR_MATCH_V8
frevo,Nuits-Saint-Georges 1er Cru Clos des Corvées Vieilles Vignes,Prieure Roch,2020,1090,750ml,Red Wines,8,7,7,"Sappy, precise","rabbit terrine, forest mushrooms",2020 Corvées: NSG old vine clarity.,NUCLEAR_MATCH_V8
Huso,Vintage Brut,Krug,2011,1085,750ml,Champagne & Sparkling,8,3,8,Electric,"Truffles, Aged Cheddar","Vintage structure with brioche, citrus depth.",NUCLEAR_MATCH_V8
joo ok,Chateau Palmer,Chateau Palmer,2015,1080,750ml,Red Wine,8,9,9,Floral,"Beef, Berries","2015 Palmer: solar fruit, structured.",NUCLEAR_MATCH_V8
53,Extra Brut Grand Cru 'Clos des Goisses',Philipponnat,2012,1074,750ml,Champagne & Sparkling Wines,8,1,7,Electric,"Duck, Rich Seafood",Iconic Clos des Goisses power.,NUCLEAR_MATCH_V8
cote,Estate,Opus One,2006,1065,750ml,USA Red Wine,8,9,9,velvety integrated,"venison, aged cheese","Mature harmony, cassis and cedar depth.",NUCLEAR_MATCH_V8
53,Pauillac,Château Duhart-Milon-Rothschild,2008,1062,Large Format,Large Formats,7,8,8,Velvet,,"Classic Pauillac, cedar evolution.",NUCLEAR_MATCH_V8
53,Amarone della Valpolicella Classico,Giuseppe Quintarelli,2015,1060,750ml,Red Wines,7,9,9,Lush,"Venison, Chocolate","Quintarelli magic, solar opulence.",NUCLEAR_MATCH_V8
cote,Sauternes,Château d'Yquem,1998,1050,750ml,Sweet & Fortified Wine,8,2,9,complex,"aged cheese, fruit tart",1998 Yquem: mature honeyed depth.,NUCLEAR_MATCH_V8
gabriel kreuther,"""Montagne"" Rilly-la-Montagne",Mont Fournois,2013,1050,750ml,General,7,1,6,Elegant,"Poultry, Fish",Mature Montagne with balanced ripeness.,NUCLEAR_MATCH_V8
gramercy tavern,Unknown,Clos Joliette,1994,1050,750ml,General,9,1,6,Crisp,"Seafood, Aperitif","Dry Jurançon, vibrant mountain freshness.",NUCLEAR_MATCH_V8
jua,Corton-Charlemagne GC,BONNEAU DE MARTRAY,2019,1050,750ml,White,8,,8,"dense, chiselled, stony","lobster, roast_chicken, truffle_dishes",Powerful yet vertical Corton-Charlemagne; serious cellar and decant candidate.,NUCLEAR_MATCH_V8
jua,Bordeaux Blend,OPUS ONE,2018,1050,750ml,Red,7,7,8,"plush, seamless, glossy","prime rib, lamb, short rib, hard cheese",Polished Napa–Bordeaux hybrid; luxurious without heaviness in 2018.,NUCLEAR_MATCH_V8
jungsik,“Initial” Blanc de Blancs Grand Cru Brut (disg ’23),Jacques Selosse,NV,1050,750ml,General,9,1,7,Electric,"shellfish, foie gras","Selosse signature, intense minerality.",NUCLEAR_MATCH_V8
53,IGT Toscana 'Costabate',Uccelliera,2016,1042,Large Format,Large Formats,7,8,8,Supple,"Pheasant, Eggplant","Piedmont 2016 Sangiovese, balanced.",NUCLEAR_MATCH_V8
53,Barbaresco 'Asili',Bruno Giacosa,2017,1040,Large Format,Large Formats,8,8,8,Floral,"Veal, Risotto","Giacosa's Asili, refined Nebbiolo.",NUCLEAR_MATCH_V8
babbo,Unknown,Castell’in Villa,1985,1025,750ml,General,8,9,9,"dense, velvety_core, earthy_edges","grilled_steak, venison, pecorino_gran_riserva","Solar, powerful vintage; expect sweet fruit under classic Castell’in Villa structure.",NUCLEAR_MATCH_V8
don angie,Barbaresco ‘Sorì Tildìn’,Gaja,2020,1025,750ml,General,8,8,8,"vertical, powerful, polished","wagyu, game, taleggio","Sorì Tildìn is grand cru Nebbiolo: depth, precision and serious aging potential.",NUCLEAR_MATCH_V8
joo ok,Corton Charlemagne Grand Cru,Domaine Meo Camuzet,2022,1010,750ml,White Wine,8,1,8,"powerful, dense, etched minerality","lobster, turbot, comté, truffle_chicken","Monumental, coiled 2022 Corton-Charlemagne; decant or bury in cellar.",NUCLEAR_MATCH_V8
joo ok,Corton Charlemagne Grand Cru,Domaine Simon Bize,2021,1010,750ml,White Wine,9,1,7,"chiselled, saline, tightly wound","oysters, shellfish_crudo, goat_cheese, sole_meuniere","Classically taut 2021; laser-cut citrus and stone, needs air.",NUCLEAR_MATCH_V8
joo ok,Grillet Vin Blanc,Chateau Grillet,2020,1010,750ml,White Wine,7,1,8,Opulent,"Asian, Rich Fish","Rare Viognier benchmark, apricot luxe.",NUCLEAR_MATCH_V8
atomix,Unknown,Dal Forno Romano,2008,1000,750ml,General,6,9,9,Dense,"Beef, Aged Cheeses","2008 Dal Forno, profound concentration.",NUCLEAR_MATCH_V8
cote,Riserva,Borgogno,1982,1000,750ml,Italian Red Wine,7,9,9,Velvety,"filet mignon, foie gras","1982 Borgogno: Mature, complex reserve.",NUCLEAR_MATCH_V8
cote,Monprivato,Giuseppe Mascarello,2020,1000,1.5L,Italian Red Wine,8,8,7,"supple, floral, seamless","duck_breast, piedmontese_cheese",2020 Monprivato shows early charm without sacrificing pedigree.,NUCLEAR_MATCH_V8
cote,"Vecchie Vigne, Montepulciano d'Abruzzo",Emidio Pepe,2000,1000,1.5L,Italian Red Wine,7,7,8,"resolved, savory, almost Burgundian","braised short ribs, aged pecorino","Fully tertiary Pepe; leather, dried rose, umami, seamless palate.",NUCLEAR_MATCH_V8
gabriel kreuther,La Mouline,E. Guigal,2003,1000,750ml,General,6,7,8,"plush, exotic, evolved","braised_beef, blue_cheese","Solar 2003: rich, low-acid, intensely spicy and hedonistic.",NUCLEAR_MATCH_V8
joo ok,Meursault 1er Cru “Sous Dos D’Ane”,Domaine Leflaive,2018,1000,750ml,White Wine,7,1,7,"silky, gently creamy, integrated oak","roast_chicken, scallops, morels, gruyere",2018 richness tempered by Meursault tension; already in fine voice.,NUCLEAR_MATCH_V8
joo ok,Grand Cru Clos Vougeot,Olivier Bernstein,2017,1000,750ml,Red Wine,7,8,8,Velvety,"Lamb, Wild Boar","2017 Clos Vougeot: balanced, mature charm.",NUCLEAR_MATCH_V8
joo ok,Solaia,Marchesi Antinori,2015,1000,750ml,Red Wine,7,8,9,"opulent, glossy, layered","ribeye, short_ribs","Solar 2015 Solaia: dense cassis, graphite, refined but ample tannin.",NUCLEAR_MATCH_V8
jua,Brut Vintage,KRUG,2011,1000,750ml,Sparkling,8,3,8,Electric,"Truffles, Aged Cheddar","Vintage structure with brioche, citrus depth.",NUCLEAR_MATCH_V8
jua,Chablis 1er Cru “Montée de Tonnerre”,DOMAINE FRANÇOIS RAVENEAU,2018,1000,750ml,White,9,,6,"laser-like, chalky, incisive","shellfish, crudo, tempura",Benchmark Montée de Tonnerre; 2018 adds ripeness to classic Chablis cut.,NUCLEAR_MATCH_V8
jua,Hermitage,DOMAINE JEAN-LOUIS CHAVE,2017,1000,750ml,Red,7,9,8,"densely woven, smoky, muscular","steak, lamb, game, short rib",Monolithic young; demands air for its violet and olive complexity.,NUCLEAR_MATCH_V8
essential by christophe,Barolo Falletto,Bruno Giacosa,2020,999,750ml,General,8,9,8,Dense,"roast beef, walnuts","Powerful 2020 Falletto, Giacosa classic.",NUCLEAR_MATCH_V8
gramercy tavern,Unknown,Sine Qua Non,1998,998,750ml,General,7,1,8,Opulent,"Foie Gras, Spicy Asian","Rich Viognier, hedonistic Rhône style.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Châteauneuf-du-Pape,Château Rayas,2010,995,750ml,Other French Whites & Rosé,8,5,8,Silky,"Lamb, Duck, Game Birds","The unicorn; ethereal Grenache, kirsch, and exotic spices with a Burgundian texture.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Cornas,Marcel Juge,2015,995,750ml,South of France,7,8,8,"wild, chewy, old‑school","Game, Beef, Cassoulet, Cured Meats",Rare Juge Cornas; sauvage Cornas for contemplative drinking.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Grenache, “Pajarito del Amor,” Eleven Confessions Vineyard",Sine Qua Non,2016,995,750ml,"Grenache, Syrah, Mourvedre",7,6,8,"Silky, expansive","duck, lamb, truffle",Cooler 2016 lends lift and definition to SQN’s plush Grenache.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Unknown,Dominus,1997,995,750ml,Napa Valley Cabernet & Blends,7,9,9,Evolved,"Leg of Lamb, Earthy Stews","Legendary Dominus, soft power.",NUCLEAR_MATCH_V8
gabriel kreuther,Unknown,Gilette,1990,995,750ml,General,7,1,9,Unctuous,"Foie Gras, Desserts","1990 Gilette, pinnacle of botrytis elegance.",NUCLEAR_MATCH_V8
gabriel kreuther,Les Saints-Georges,Henri Gouges,2001,995,750ml,General,7,8,8,"savory, resolved, earthy, old-school Nuits power","dry-aged beef, lamb, wild mushroom, Comté","Fully tertiary, needs gentle service; perfect lesson in aged Nuits-Saint-Georges.",NUCLEAR_MATCH_V8
Huso,‘Fleur de Passion’ Blanc de Blancs Brut,Diebolt-Vallois,2008,995,750ml,Champagne & Sparkling,8,1,7,Electric,"Lobster, Poultry","Mature 2008, evolved complexity.",NUCLEAR_MATCH_V8
Huso,‘Clos de la Roche’,Lignier-Michelot,2023,995,750ml,Red Wine,9,6,7,powdery silk,"venison, foie gras",2023 depth and textural finesse.,NUCLEAR_MATCH_V8
Huso,1er Cru ‘Les Sentiers’,Robert Groffier,2021,995,750ml,Red Wine,9,7,7,"precise, cool-fruited, silky","duck, rabbit, morels, roast_chicken","Cool-tuned 2021 Sentiers: vibrant red fruit, refined Vosne-inflected tannins.",NUCLEAR_MATCH_V8
Huso,Saint-Émilion,Château Angelus,2011,995,750ml,Red Wine,7,8,7,Lithe,"Beef, Earthy Dishes","Challenging vintage, elegant structure.",NUCLEAR_MATCH_V8
Huso,Saint-Émilion,Château Figeac,2009,995,750ml,Red Wine,7,9,9,Rich,"Venison, Blue Cheese","Solar perfection, dense fruit.",NUCLEAR_MATCH_V8
Huso,‘Spinning Beauty’ Montefalco Sagrantino,Arnaldo Caprai,2011,995,750ml,Red Wine,7,10,9,"monumental, chewy, graphite‑laden","braised_beef, grilled_lamb, game, blue_cheese",Sagrantino at haute‑couture level; always suggest decant and food.,NUCLEAR_MATCH_V8
essential by christophe,Unknown,Antica Terra,2017,990,750ml,General,7,6,7,"sappy, velvety, concentrated","salmon, duck, charcuterie, mushroom dishes","Riper, generous Antica Terra with trademark salinity and spice.",NUCLEAR_MATCH_V8
frevo,Hermitage,Jean-Louis Chave,1995,990,750ml,White Wines,7,9,9,Silky,"Game, Truffles","Mature Hermitage, evolved complexity.",NUCLEAR_MATCH_V8
frevo,Francs-Côtes-de-Bordeaux Barthélémy,Château Le Puy,2006,990,750ml,Red Wines,7,7,7,"mature, savory, resolved","stew, pork, mushroom","2006 Barthélémy; fully evolved, leathery, with gentle, melting tannins.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Saint-Julien,Château Léoville Las Cases,1986,988,750ml,Bordeaux,7,9,9,"powerful, dense, still structured","ribeye, venison, lamb, strong cheeses","Epic 1986; towering tannin, graphite and cassis, still profoundly youthful.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Sauternes,Château d’Yquem,2011,988,750ml,Dessert Wines,9,1,8,Silky,"Foie Gras, Spicy Asian",Classic 2011 Yquem with vibrant acidity.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Grandes Ruchottes 1er Cru,Bernard Moreau,2019,985,750ml,White Burgundy,8,1,8,Oily,"Lobster, Roast Pork, Cream Sauce","Chassagne power; rich, textured, and spicy with deep stone fruit reserves.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,“Monte Bello”,Ridge,1994,985,750ml,Sonoma / Santa Cruz / Washington State,8,9,7,Mineral,,Structured 94 showing classic Monte Bello finesse.,NUCLEAR_MATCH_V8
babbo,Unknown,Montenidoli,2008,985,1.5L,General,8,8,7,"chiseled, earthy, austere","Tagliata, Ragù","High-toned, mineral Sangiovese; for purists and structured dishes.",NUCLEAR_MATCH_V8
cote,Barolo,Bartolo Mascarello,2014,985,1.5L,Italian Red Wine,9,8,6,"sinewy, delicate, lifted","roast_chicken, charcuterie","Transparent, high-acid 2014; all rose petal, spice, and nuance.",NUCLEAR_MATCH_V8
Huso,1er Cru ‘Lez Cazetieres’,Armand Rousseau,2022,985,750ml,Red Wine,8,8,8,lush mineral,"beef, truffles",Rousseau solar with chalky energy.,NUCLEAR_MATCH_V8
53,Extra Brut 'Cuvee 740 - Dégorgement Tardif',Jacquesson,NV,980,Large Format,Large Formats,9,1,5,Vibrant,"sushi, appetizers","Tardive disgorgement NV, electric tension.",NUCLEAR_MATCH_V8
53,Pouilly-Fuissé 'Clos Reyssier',Esprit Leflaive,2018,980,Large Format,Large Formats,7,1,7,"rounded, polished, subtly_creamy","roast_chicken, pork, creamy_pasta, rich_fish, cheese_course","Solar 2018; generous Mâconnais fruit, oak polish, versatile on the table.",NUCLEAR_MATCH_V8
cote,Montebello,Ridge Vineyards,2012,980,1.5L,USA Red Wine,8,9,9,firm,"venison, blue cheese","2012 Montebello, Bordeaux-like structure.",NUCLEAR_MATCH_V8
gabriel kreuther,"""Bricat"" Barolo",Giovanni Manzone,2010,980,750ml,General,8,9,8,Tar,"Beef, Aged Cheeses","2010 Barolo: Structured, classic Bricat.",NUCLEAR_MATCH_V8
jua,Vin Blanc,CHATEAU-GRILLET,2020,980,750ml,White,7,1,8,Opulent,"Asian, Rich Fish","Rare Viognier benchmark, apricot luxe.",NUCLEAR_MATCH_V8
jungsik,“La Bolorée” Blanc de Blancs Extra Brut,Cédric Bouchard,2014,980,750ml,General,8,1,8,"silky, dense, chalk-drenched","langoustine, white_truffle, cream_sauces","Rare Pinot Blanc; haunting texture and length, almost still-wine intensity.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Les Preuses,Dauvissat-Camus,2013,975,750ml,White Burgundy,8,1,8,Silky,"Scallops, Turbot, Poultry",Preuses elegance; seductive and floral Grand Cru with underlying strength.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Turque,E. Guigal,2014,975,750ml,South of France,8,9,6,Grippy,"lamb, mushrooms","Wet vintage, firm structure holds.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Landonne,E. Guigal,2014,975,750ml,South of France,8,9,6,Dense,"beef, game","Challenging year, Landonne power shines.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Mouline,E. Guigal,2014,975,750ml,South of France,8,9,6,Silky,"duck, truffles","Rain-affected, still legendary Mouline.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Belle Hélène,Michel & Stéphane Ogier,1998,975,750ml,South of France,7,8,9,Rich,"braise, mushrooms","Mature beauty, Ogier elegance.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Belle Hélène,Michel & Stéphane Ogier,2010,975,750ml,South of France,9,9,8,Mineral,"lamb, pepper","Vibrant Hermitage, pure Syrah.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Belle Hélène,Michel & Stéphane Ogier,2012,975,750ml,South of France,7,8,8,Velvety,"roast lamb, mushroom risotto",Mature Syrah with evolved spice.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Estate Red,Dominus,2009,975,750ml,Napa Valley Cabernet & Blends,8,9,9,Firm,"Grilled Meats, Cassoulet","Strong vintage, Pomerol-like.",NUCLEAR_MATCH_V8
atomix,Unknown,Claude Dugat,2001,975,750ml,General,7,6,7,"mellow, suede-like","roast_lamb, hare, aged_comté","Mature Dugat 1er: tertiary, still structured, classic old-school Gevrey.",NUCLEAR_MATCH_V8
don angie,Unknown,Dal Forno,2009,975,750ml,General,7,9,9,dense,"lamb shank, aged pecorino","Powerful, evolved Amarone concentration.",NUCLEAR_MATCH_V8
gabriel kreuther,La Mouline,E. Guigal,2016,975,750ml,General,8,7,8,"silky, layered, powerful","dry_aged_beef, wild_game",2016: more classical spine within La Mouline’s hedonism.,NUCLEAR_MATCH_V8
joo ok,Puligny Montrachet 1er Cru “Clavoillon”,Domaine Leflaive,2022,975,750ml,White Wine,8,1,8,"succulent, satin, ripe yet precise","lobster_butter, monkfish, poularde, comté",Solar Puligny with orchard opulence over a chalky core.,NUCLEAR_MATCH_V8
jungsik,Vintage Brut,Krug,2008,975,750ml,General,9,1,7,"tense, precise, electric chalk","oysters_nature, turbot_beurre_blanc, sashimi","Cool, tightly coiled Krug classic; decant or cellar.",NUCLEAR_MATCH_V8
jungsik,“Les Chétillons” Blanc de Blancs Grand Cru Brut,Pierre Péters,2005,975,750ml,General,8,1,8,Chalky,"Langoustine, Eel","Aged Chétillons, profound maturity.",NUCLEAR_MATCH_V8
jungsik,Unknown,Heitz Cellar,2009,975,Magnum,General,8,9,9,dense,"braised short ribs, truffle pasta","Martha's ripe, vanilla oak.",NUCLEAR_MATCH_V8
53,Puligny-Montrachet,Domaine Leflaive,2023,962,750ml,Chardonnay | Burgundy,9,1,7,Silky mineral,"shellfish, poultry","2023 Leflaive precision, cool elegance.",NUCLEAR_MATCH_V8
cote,Barolo,Giacomo Conterno,1967,960,750ml,Italian Red Wine,7,7,7,"fully evolved, delicate, autumnal","contemplative, mature_cheese, simple_cuisine","Historic 1967; fragile, all sous‑bois, rose and leather.",NUCLEAR_MATCH_V8
jungsik,"""Clos des Goisses” Brut",Philipponnat,2012,960,750ml,General,9,1,8,"tense, chalky, firmly structured","bluefin_tuna, duck, umami_rich_vegetables","Cooler, more architectural Goisses; decant for full expression.",NUCLEAR_MATCH_V8
53,Napa Valley,Dominus Estate,2009,959,750ml,Red Wines,7,8,8,"refined, gravelly, Bordeaux-like","bordelais_style, game_birds, cellar_release, sommelier_favorite","Old World–inflected Dominus; tertiary notes emerging, very food-flexible.",NUCLEAR_MATCH_V8
cote,"Bragantino, Chianti Classico, Gran Selezione",Monteraponi,2019,959,1.5L,Italian Red Wine,8,8,8,Firm,"lamb chops, blue cheese","2019 structured, ageworthy Gran Sel.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Diamond Mountain,Lokoya,2014,950,750ml,Napa Valley Cabernet & Blends,8,8,6,Lithe,"Duck, Pork","Wet vintage leanness, bright acids.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Howell Mountain,Lokoya,2014,950,750ml,Napa Valley Cabernet & Blends,8,8,6,Elegant,"Salmon, Mushrooms","Challenging year, vibrant Howell style.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Spring Mountain,Lokoya,2014,950,750ml,Napa Valley Cabernet & Blends,8,7,6,Silky,"Turkey, Vegetables","Spring Mtn finesse, lighter body.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Mount Veeder,Lokoya,2014,950,750ml,Napa Valley Cabernet & Blends,8,8,6,Chalky,"Tuna, Herbs","Veeder freshness, cool-site vibrancy.",NUCLEAR_MATCH_V8
babbo,Unknown,Castello di Monsanto,1977,950,750ml,General,7,7,7,"silky, ethereal, fully mature","Aged Parmigiano Reggiano, Meditation wine","Historic Il Poggio: truffle, cedar, dried cherry, haunting length.",NUCLEAR_MATCH_V8
Huso,‘Sous le Dos d’Ane’,Domaine Leflaive,2022,950,750ml,White Wine,8,1,8,Ripe,"caviar, white meats","Leflaive 2022, iconic ripe.",NUCLEAR_MATCH_V8
Huso,Chianti Classico Riserva,Castell’in Villa,1986,950,750ml,Red Wine,8,7,7,"resolved, savory, earthy, tertiary","florentine_steak, roast_lamb, pecorino, truffle",Benchmark old‑guard Chianti; pour for Burgundy and Barolo lovers alike.,NUCLEAR_MATCH_V8
joo ok,Corton-Charlemagne Grand Cru “La Croix”,Pierre Girardin,2022,950,750ml,White Wine,8,1,8,"concentrated, glossy, driving mineral spine","langoustine, turbot, veal_sweetbreads, aged_comté","Young, intense Corton-Charlemagne; generous fruit, steely finish.",NUCLEAR_MATCH_V8
joo ok,Meursault 1er Cru Clos des Boucheres,Domaine Roulot,2022,950,750ml,White Wine,8,1,7,"Silky, ultra‑fine, crystalline","Turbot, Sole Meunière, Comté",Textbook Roulot finesse; weightless yet authoritative Meursault.,NUCLEAR_MATCH_V8
joo ok,Bonnes-Mares Grand Cru,Domaine Hudelot-Baillet,2021,950,750ml,Red Wine,9,8,7,Silky,"Venison, Foie Gras",Lean 2021 Bonnes-Mares: elegant finesse.,NUCLEAR_MATCH_V8
joo ok,Chateau d’Yquem,Chateau d’Yquem,2011,950,Bottle,Others & Sweet,8,1,8,"Silky, refined sweetness, less massive than 2009","foie_gras, blue_cheese, pâté, fruit_desserts","More classical, poised Yquem; emphasis on citrus, botrytis spice.",NUCLEAR_MATCH_V8
jungsik,Unknown,Pavillon Rouge du Margaux,1986,950,750ml,General,8,8,8,Elegant,"beef tenderloin, raspberry tart","Graceful 1986 second wine, refined.",NUCLEAR_MATCH_V8
jungsik,“R.D.” Extra Brut,Bollinger,2008,950,750ml,General,7,3,9,"rich, creamy, intensely vinous","lobster, poularde, aged_comté","Mature RD complexity: truffle, toast, and formidable length.",NUCLEAR_MATCH_V8
jungsik,Unknown,Château Gilette,1983,950,750ml,General,7,1,8,"mellow, oily, caramelized","blue_cheese, nut_desserts, foie_gras, hard_cheese","Long‑elevage Sauternes showing toffee, nuts and savory complexity over sweetness.",NUCLEAR_MATCH_V8
cote,La Torriglione,Roberto Voerzio,2015,949,1.5L,Italian Red Wine,8,9,9,"Ripe, solar","short ribs, smoked meats",2015: warm vintage Torriglione power.,NUCLEAR_MATCH_V8
frevo,Knights Valley Cabernet-Sauvignon Les Pavots,Peter Michael,1996,945,750ml,Red Wines,6,7,8,Integrated,"Roast Beef, Truffles","Mature Pavots, evolved Bordeaux blend grace.",NUCLEAR_MATCH_V8
Huso,Clos de Vougeot,Château de la Tour,2018,935,750ml,Red Wine,7,8,8,"firm, authoritative, savory","ribeye, lamb, game, strong_cheese","Serious, classically framed Clos de Vougeot; needs decant or main-course pairing.",NUCLEAR_MATCH_V8
joo ok,Chateau Leoville Las Cases,Chateau Leoville Las Cases,2010,935,750ml,Red Wine,8,9,8,Austere,"Steak, Cassoulet","2010 Las Cases: classic structure, cedar.",NUCLEAR_MATCH_V8
babbo,Unknown,Biondi-Santi,1983,925,750ml,General,8,9,9,Velvet firm,"Aged game, Truffle white","Historic Biondi-Santi, tertiary notes.",NUCLEAR_MATCH_V8
gabriel kreuther,"""Bricco Pernice""",Elvio Cogno,2015,925,750ml,General,9,8,9,Floral,,"2015 Barolo: Solar, ripe Nebbiolo.",NUCLEAR_MATCH_V8
Huso,Clos de Vougeot,Genot-Boulanger,2014,925,750ml,Red Wine,8,7,6,"lean, earthy, resolved","braised_beef, duck, mushroom_dishes, cheese_course","Cool, slightly austere 2014 Clos de Vougeot, now entering its drinking window.",NUCLEAR_MATCH_V8
53,Médoc 'L'Integrale',Château Les Tuileries,2018,923,750ml,Red Wines,7,7,7,"classic, cedar-laced, balanced","bordeaux, steak_frites, by_the_bottle_value, cru_bourgeois_style","Modern Médoc with polish; cassis, cigar box, reliable left-bank benchmark.",NUCLEAR_MATCH_V8
53,Etna Bianco Superiore 'Pietramarina',Benanti,2019,910,Large Format,Large Formats,8,2,7,Volcanic,"Fish, Poultry","Etna's Chardonnay, complex minerality.",NUCLEAR_MATCH_V8
atomix,Unknown,Clusel-Roch,1995,900,750ml,General,7,7,7,"delicate, savory, fully tertiary","charcuterie, roast_pork","Mature Clusel-Roch: cured meat, dried rose, forest floor, gentle frame.",NUCLEAR_MATCH_V8
atomix,"Arinto, Vinha dos Utras, Pico, Açores",Azores Wine Company,2019,900,750ml,General,8,1,6,"briny, slightly_rounder","grilled_squid, shellfish_pasta, soft_cheese","Slightly riper vintage; still oceanic, with more mid‑palate creaminess.",NUCLEAR_MATCH_V8
atomix,"Eitelsbacher Karthäuserhofberg, Auslese, Nr. 58",Karthäuserhof,1998,900,750ml,General,7,1,8,Honeyed,"Foie, Blue Cheese","Legendary 1998 Auslese, mature elegance.",NUCLEAR_MATCH_V8
cote,Monvigliero,G.B. Burlotto,2013,900,750ml,Italian Red Wine,8,8,7,"ethereal, saline, silky","poultry, truffle_dishes, mushroom_pasta","Monvigliero’s signature rose, orange peel and whispery tannin.",NUCLEAR_MATCH_V8
don angie,Barbaresco,Gaja,2019,900,750ml,General,8,7,7,"silky, balsamic, fine-grained","truffle dishes, lamb, braised veal","Modern-classic Barbaresco: rose, tar, red cherry and refined, persistent structure.",NUCLEAR_MATCH_V8
